id,fielders,kind,player_out,odi_no,check
1126,,lbw,588,3588,0
1127,1041,caught,670,3588,0
1128,983,caught,1589,3588,0
1129,,bowled,1517,3588,0
1130,983,caught,1478,3588,0
1131,2102,caught,1532,3588,0
1132,2102,caught,662,3588,0
1133,589,caught,236,3588,0
1134,,bowled,1549,3588,0
1135,981,caught,216,3588,0
1136,,bowled,1537,3588,0
1137,,lbw,216,3585,0
1138,209,caught,1478,3585,0
1139,209,caught,1589,3585,0
1140,2102,caught,1551,3585,0
1141,,bowled,670,3585,0
1142,2102,caught,1517,3585,0
1143,981,caught,236,3585,0
1144,1044,caught,1549,3585,0
1145,981,747,run out,1532,3585,0
1146,589,caught,1509,3585,0
1147,236,caught,981,3585,0
1148,1589,caught,209,3585,0
1149,1589,caught,1041,3585,0
1150,670,caught,1346,3585,0
1151,,bowled,589,3585,0
1152,1478,run out,588,3585,0
1153,1532,caught,981,3580,0
1154,,bowled,1061,3580,0
1155,,lbw,1041,3580,0
1156,1551,caught,209,3577,0
1157,1589,caught,1061,3577,0
1158,,caught and bowled,981,3577,0
1159,1549,1589,run out,1044,3577,0
1160,236,caught,1041,3577,0
1161,1478,1589,run out,2102,3577,0
1162,1551,1589,run out,588,3577,0
1163,1517,run out,983,3577,0
1164,1589,stumped,1349,3577,0
1165,670,caught,590,3577,0
1166,,lbw,216,3577,0
1167,1061,caught,1589,3577,0
1168,1041,caught,1517,3577,0
1169,2102,caught,1478,3577,0
1170,,lbw,216,3574,0
1171,589,caught,1589,3574,0
1172,2102,stumped,1478,3574,0
1173,981,2102,run out,1551,3574,0
1174,589,caught,670,3574,0
1175,981,caught,1549,3574,0
1176,588,caught,1517,3574,0
1177,2102,caught,236,3574,0
1178,2102,caught,574,3574,0
1179,1478,caught,209,3574,0
1180,1589,stumped,981,3574,0
1181,1517,caught,589,3574,0
1182,,bowled,1346,3574,0
1183,1589,stumped,1061,3574,0
1184,1551,caught,2102,3574,0
1185,,lbw,588,3574,0
1186,983,caught,1305,3538,0
1187,,caught and bowled,746,3538,0
1188,,bowled,758,3538,0
1189,,bowled,987,3537,0
1190,2102,caught,1341,3537,0
1191,2102,caught,1344,3537,0
1192,,bowled,1305,3537,0
1193,,lbw,1343,3537,0
1194,209,caught,746,3537,0
1195,1342,caught,1411,3537,0
1196,2102,caught,1431,3537,0
1197,,bowled,758,3537,0
1198,746,caught,209,3537,0
1199,,bowled,853,3537,0
1200,1305,caught,1061,3537,0
1201,,bowled,1342,3537,0
1202,758,caught,588,3537,0
1203,,lbw,981,3537,0
1204,,bowled,1044,3537,0
1205,,bowled,230,3537,0
1206,,bowled,590,3537,0
1207,1341,caught,2102,3537,0
1208,987,caught,853,3536,0
1209,987,caught,209,3536,0
1210,987,caught,1342,3536,0
1211,1141,caught,981,3536,0
1212,,bowled,588,3536,0
1213,987,stumped,1061,3536,0
1214,,lbw,1044,3536,0
1215,987,caught,983,3536,0
1216,1411,caught,982,3536,0
1217,987,caught,2102,3536,0
1218,1061,caught,987,3536,0
1219,2102,caught,1341,3536,0
1220,1342,caught,746,3536,0
1221,,bowled,1305,3536,0
1222,1517,caught,214,3519,0
1223,236,caught,525,3519,0
1224,,lbw,1186,3519,0
1225,1478,run out,1182,3519,0
1226,1550,caught,735,3519,0
1227,1589,caught,1272,3519,0
1228,236,caught,1251,3519,0
1229,1589,caught,1286,3519,0
1230,1517,caught,1264,3519,0
1231,,bowled,1267,3519,0
1232,,bowled,1593,3519,0
1233,1186,caught,1589,3519,0
1234,1186,caught,1517,3519,0
1235,735,caught,1478,3515,0
1236,1272,caught,1589,3515,0
1237,735,caught,1593,3515,0
1238,,bowled,1517,3515,0
1239,,lbw,557,3515,0
1240,,lbw,238,3515,0
1241,1186,caught,1551,3515,0
1242,525,735,run out,236,3515,0
1243,,bowled,1550,3515,0
1244,1509,caught,214,3515,0
1245,,lbw,1186,3515,0
1246,1589,caught,735,3515,0
1247,1589,caught,525,3515,0
1248,1532,caught,1182,3515,0
1249,,lbw,1272,3515,0
1250,1532,caught,1251,3515,0
1251,1509,caught,1286,3515,0
1252,1551,caught,1119,3515,0
1253,,bowled,527,3515,0
1254,,lbw,1478,3512,0
1255,735,caught,1593,3512,0
1256,525,caught,1589,3512,0
1257,1286,caught,662,3512,0
1258,735,run out,1517,3512,0
1259,,bowled,236,3512,0
1260,,bowled,1551,3512,0
1261,,lbw,1186,3512,0
1262,1532,caught,1289,3512,0
1263,1550,caught,735,3512,0
1264,,bowled,525,3512,0
1265,1589,caught,1182,3512,0
1266,238,caught,1119,3512,0
1267,660,caught,856,3499,0
1268,660,caught,591,3499,0
1269,1951,caught,791,3499,0
1270,991,caught,855,3499,0
